simulation_num,N,moves,seconds,word_count,word_list
115,4,2202,0.532,126,HADST;TUI;SHAW;SATI;AWAITS;SHADS;HATS;SKAT;AH;ADS;CUTS;HAT;HAD;TWAS;SCUTA;SAC;CATS;AT;WATS;AWASH;AWL;DATA;CASH;UTA;STAW;ASH;AA;AIT;AW;KAS;TAWS;HAWS;SHA;TAW;DHAKS;HAS;DAK;DAWT;STASH;SCATS;UT;WAT;SWATS;AD;SHAD;SAWS;WHAT;DAWTS;AAS;SAW;UTAS;HAST;AWLS;SHWA;WAITS;KAAS;IT;KATS;WAIT;SHWAS;SH;HAW;SWAT;WAS;AAHS;TAU;SAU;TAD;WAST;SCAT;TASK;AWAIT;KATAS;DAHS;CASHAWS;WAD;ASK;DHAK;DAHLS;WADS;TAS;DAW;TA;TI;HA;ITS;KATA;TSK;WHA;DAHL;SCUTS;SHAT;AS;SHAWL;CAW;DAWS;CAWS;ASCI;UTS;SKA;SCUT;WHATS;AWA;TADS;WAW;WASH;SHAWS;CUT;AI;CAT;KAT;WAWL;WITS;KA;CASHAW;WAWS;TWA;DAKS;SAT;AHS;AITS;SAD;WAWLS;DAH;AAH;WIT
116,4,413,0.213,12,PHT;OP;TO;WRY;COT;OPT;TRY;TOPH;COP;PRY;POT;TOP
117,4,1029,0.3202,44,MOR;ORMER;XU;MY;ROC;ORC;ORYX;BE;CRY;ROM;LUREX;URB;OMER;REM;ME;UN;COME;BERM;EXURB;OM;BRUX;NU;CORM;RE;OR;EX;MOC;REC;URN;RUN;LUXE;ER;MO;RULY;EM;UNRULY;COMER;REX;LURE;LUX;CORY;ERN;COR;REB
118,4,980,0.3108,76,YES;SHOE;TOE;OS;HOSES;OSE;MHO;KYES;MOSH;TOMS;MOS;SH;TOSH;SOM;TOYS;KOS;YO;TOM;YEGG;SEGS;OMS;HOSEYS;SMOKY;HM;MOSEY;SOS;ES;OHMS;TOY;SHOES;YOM;SO;SOMS;OY;OHM;OHS;HOY;HOS;EGGY;SEG;OH;OM;TO;YOK;OE;SOYS;OES;YOKS;SOT;HOT;SHMO;OYES;HOES;MOT;SOY;SHOT;MHOS;HOE;TYE;HO;SHMOES;MOSEYS;GEY;SKOSH;MO;KYE;HOYS;OSES;HOSEY;MOSK;HOSE;TOES;SKY;EGG;TYES;YE
119,4,1135,0.3343,62,REDD;RIME;EIDE;DIME;MI;DEMY;REI;RIMMED;IRED;MY;EMIR;DIED;RIDDED;ED;IMMY;MM;DEY;HM;IRE;EDDY;DID;RIM;HYDRID;DIRE;ZEK;DE;MIRE;EMMER;ZYME;DYER;HMM;REM;ME;DIMMED;DYE;DERIDED;RID;DERIDE;RED;MIR;RE;ID;IDEM;MID;REDID;RIDE;EMMY;RIMED;HYDRIDE;MED;EMYD;ER;EM;DIDY;MIDDY;DIE;REDDED;ZED;DIM;MIRED;YE;DIMMER
120,4,805,0.2732,56,FIXT;LIFTS;ITS;SLIT;TILS;SIX;IT;STILLS;SILLS;TIL;LIT;XIS;FILLS;LISTS;STILL;LIFT;TIC;FISTS;XI;FIST;SILL;SIFT;ILL;SILD;CIST;IS;LIS;FILL;TILLS;SIFTS;SIT;ILLS;LIST;CISTS;IF;FIT;LI;VIS;SILK;IFS;SIC;SLITS;SITS;FILS;VILLS;FITS;FIX;ILK;CIS;TIS;LITS;FIL;VILL;TI;TILL;SI
121,4,1548,0.4194,105,FUSELS;CULLS;LESS;OMS;BUS;ELL;SEL;BOS;LES;FOBS;MULES;SELLS;UMBOS;OM;OF;MOB;BUSES;US;MU;BULL;MOC;SCULLS;ELS;SELS;SOBFUL;COS;OS;UM;MUSES;FUB;MOS;UP;FLUB;BUSS;MUSSEL;CUPS;SELFS;BUMF;PULSES;FLUS;BUMFS;MULE;MULL;PULSE;UPS;SUB;SCULP;PULLS;PULS;SCUP;PUL;MUSSELS;COB;SOM;MULLS;ES;USES;CLUB;BUM;SUM;EL;PULL;CUP;FOB;LUM;MOBS;SELL;UMBO;FUSE;MUSE;SELF;SCULPS;FUSS;COMP;FLUBS;USE;MUSS;BULLS;MOCS;CUPSFUL;ELLS;SCUPS;COMPS;SO;SUBS;SLUM;SCULL;CULL;FLU;CLUBS;MUS;SULFO;FUBS;BO;FUSES;SLUB;FUSEL;FULL;MO;SOB;COBS;FULLS;SLUBS;ELF;ESS
122,4,1522,0.3772,96,YAWS;BOYS;SAYS;ANOAS;NOT;BOT;SWAY;AYS;YOW;ON;ABYSS;SYN;SAC;SWOON;AY;COYS;SWAYS;OOT;OCAS;WO;YAYS;NABS;NOB;TOYO;YAW;BOA;AW;YO;YOWS;WAYS;COO;BAYS;CAYS;COY;ANY;WOO;BY;COT;SAY;BONY;YA;CYTON;ANOA;SAW;NOO;BAY;CYAN;NAY;COB;ABY;BA;TOYS;WAS;NAB;TOY;TONY;AB;OY;BOYO;OW;TOBY;CON;ABS;AN;BOAS;NA;YOB;ASS;TON;BYS;CONY;ABYS;YAY;NO;BOY;SWOONY;WAY;AS;ASCOT;CAW;BAN;ANT;CAWS;YON;ASWOON;BANTY;CAY;OCA;TO;BOO;CYANO;TOO;SCOT;BO;SACS;NAYS
123,4,936,0.3054,42,GAUGE;GAUR;SWAG;GAG;XU;PUG;WOE;GO;AGO;UP;AX;AS;AW;SWAGE;AGE;AG;AGUE;WAS;SAU;GURU;RUGA;GAS;OW;SAX;WOG;WAX;OE;SAG;OUPH;SAGO;GOAS;GOA;GAGE;WAG;SAGE;SAW;EGO;RUG;AUGUR;WAUR;WO;WAGE
124,4,858,0.3004,40,LO;MHO;MY;UM;PLUMY;HEP;OHO;PEW;OLE;HE;WE;YO;PEH;LOO;HM;WHY;PLUM;OLEO;OOH;OHM;OY;HOY;PLY;PHEW;HOLY;OH;EL;OE;MU;PE;LUM;HOE;HO;HELO;WHO;EH;WHOLE;HOLE;HEW;HOOLY
